Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction,Medicine,Dosage_Info_Medicine,Duration_Medicine,Notes_Medicine,Diet_For_Recovery,Dosage_Info_Diet,Duration_Diet,Notes_Diet,Vaccination_Name,Age_To_Give,Type,Duration_Vaccine,Notes_Vaccine
Pig,Duroc,3,Female,115,Sneezing,Coughing,Nasal Discharge,Labored Breathing,5 days,Yes,No,Yes,No,No,Yes,Yes,No,No,40.0°C,80,Swine Influenza,Appropriate medication for Pig with Swine Influenza,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality feed, vitamin supplements",Normal feeding schedule,1-2 weeks,Ensure adequate hydration,Swine Influenza Vaccine,Breeding stock and piglets,Non-core,Biannual,Recommended in high-risk herds
Dog,Corgi,5,Male,11,Vomiting,Diarrhea,Lethargy,Weight Loss,3 days,Yes,No,Yes,No,No,Yes,No,Yes,No,39.2°C,134,Pancreatitis,Appropriate antibiotics and supportive medication for Pancreatitis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,Easily digestible diet appropriate for condition,"Small, frequent meals",1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,DHPP Vaccine,"6-8 weeks, then every 3-4 weeks until 16 weeks",Core,"Annual booster, then every 3 years",Essential preventative care for all dogs
Cat,Burmese,8,Female,4.5,Eye Discharge,Nasal Discharge,Sneezing,Lethargy,6 days,Yes,No,Yes,Yes,No,Yes,No,No,Yes,38.6°C,139,Feline Viral Rhinotracheitis,Appropriate antibiotics and supportive medication for Feline Viral Rhinotracheitis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Warm soft food, high-calorie paste",2-3 times daily,1-2 weeks,L-lysine supplements may be beneficial,FVRCP Vaccine,"8 weeks, then every 3-4 weeks until 16 weeks",Core,Annual booster,Protects against multiple viruses including rhinotracheitis
Horse,Paint,14,Male,500,Lameness,Weight Loss,Reduced Appetite,Swollen Joints,10 days,No,Yes,No,Yes,Yes,No,No,Yes,No,39.5°C,76,Equine Osteoarthritis,Appropriate medication for equine Equine Osteoarthritis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality hay and appropriate supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,"Core Equine Vaccines (Tetanus, EEE/WEE, Rabies)","4-6 months, with boosters",Core,Annual,Essential preventative care for all horses
Cow,Hereford,7,Female,590,Diarrhea,Dehydration,Lethargy,Appetite Loss,6 days,Yes,Yes,No,No,Yes,No,No,Yes,No,39.3°C,84,Bovine Johne's Disease,Appropriate medication for bovine Bovine Johne's Disease,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality forage and appropriate supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Clostridial/Respiratory Vaccine Complex,"2-4 months, with booster",Core,Annual,Essential preventative care for cattle
Rabbit,Flemish Giant,5,Female,6.8,Lethargy,Appetite Loss,Weight Loss,Diarrhea,5 days,Yes,No,Yes,No,Yes,Yes,No,No,Yes,39.0°C,150,Gastrointestinal Stasis,Appropriate medication for rabbit Gastrointestinal Stasis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Fresh hay, leafy greens, and limited pellets",Regular feeding schedule with fresh water,1-2 weeks or as directed by veterinarian,Ensure adequate fiber intake and monitor for GI stasis,RHDV Vaccine,10-12 weeks,Core,Annual,Essential preventative care for rabbits
Sheep,Dorper,6,Male,65,Coughing,Labored Breathing,Nasal Discharge,Appetite Loss,4 days,No,No,Yes,Yes,No,Yes,Yes,No,Yes,39.9°C,80,Pasteurellosis,Appropriate medication for ovine Pasteurellosis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality forage and appropriate mineral supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Clostridial Vaccine,"2-3 months, with booster",Core,Annual,Essential preventative care for sheep
Goat,Nubian,3,Female,70,Diarrhea,Dehydration,Lethargy,Appetite Loss,5 days,Yes,Yes,No,No,No,Yes,No,Yes,Yes,39.4°C,81,Giardiasis,Appropriate medication for caprine Giardiasis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality browse, hay, and appropriate supplements",Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,CDT Vaccine,"2-3 months, with booster",Core,Annual,Essential for preventing enterotoxemia and tetanus in goats
Dog,Poodle,7,Female,15,Lethargy,Vomiting,Loss of Appetite,Diarrhea,4 days,Yes,No,Yes,No,No,Yes,No,Yes,No,39.1°C,125,Canine Parvovirus,Appropriate antibiotics and supportive medication for Canine Parvovirus,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Highly digestible, bland diet with electrolytes","Small, frequent meals (4-6 times daily)",2-3 weeks,Gradually transition back to regular diet as symptoms improve,DHPP Vaccine,"6-8 weeks, then every 3-4 weeks until 16 weeks",Core,"Annual booster, then every 3 years","Essential for all puppies, protects against multiple diseases including parvovirus"
Cat,Maine Coon,5,Male,5.2,Nasal Discharge,Eye Discharge,Sneezing,Lethargy,3 days,Yes,Yes,No,Yes,No,No,No,Yes,No,38.8°C,140,Feline Respiratory Disease Complex,Appropriate antibiotics and supportive medication for Feline Respiratory Disease Complex,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, palatable diet appropriate for condition","Small, frequent meals",1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,FVRCP Vaccine,"8 weeks, then every 3-4 weeks until 16 weeks",Core,Annual booster,Essential preventative care for all cats
Horse,Arabian,9,Female,460,Lameness,Swollen Joints,Loss of Appetite,Reduced Mobility,6 days,No,Yes,No,No,Yes,Yes,No,Yes,Yes,39.6°C,78,Equine Lyme Disease,Appropriate medication for equine Equine Lyme Disease,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality hay and appropriate supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,"Core Equine Vaccines (Tetanus, EEE/WEE, Rabies)","4-6 months, with boosters",Core,Annual,Essential preventative care for all horses
Cow,Jersey,6,Male,570,Coughing,Nasal Discharge,Labored Breathing,Fever,5 days,Yes,No,Yes,No,Yes,No,No,Yes,Yes,39.4°C,81,Bovine Tuberculosis,Appropriate medication for bovine Bovine Tuberculosis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, nutrient-dense feed",Normal feeding schedule,2-3 weeks,Vitamin and mineral supplements,BCG Vaccine,Calves,Non-core,Variable,"Limited use, testing and culling more common"
Rabbit,English Angora,4,Female,2.1,Sneezing,Nasal Discharge,Weight Loss,Lethargy,3 days,Yes,No,No,Yes,Yes,No,Yes,No,Yes,38.6°C,150,Rabbit Viral Hemorrhagic Disease,Appropriate medication for rabbit Rabbit Viral Hemorrhagic Disease,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Fresh hay, leafy greens, and limited pellets",Regular feeding schedule with fresh water,1-2 weeks or as directed by veterinarian,Ensure adequate fiber intake and monitor for GI stasis,RHDV Vaccine,10-12 weeks,Core,Annual,Essential preventative care for rabbits
Sheep,Cheviot,5,Male,85,Weight Loss,Reduced Wool Production,Lethargy,Loss of Appetite,7 days,Yes,Yes,No,No,Yes,No,No,No,Yes,39.2°C,79,Foot-and-Mouth Disease,Appropriate medication for ovine Foot-and-Mouth Disease,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Soft hay, warm water, minerals",Free access,2-3 weeks,Avoid hard/dry food,FMD Vaccine,3-6 months,Essential (livestock),6-12 months,Mandatory for sheep in many regions
Goat,Toggenburg,7,Female,65,Diarrhea,Dehydration,Lethargy,Appetite Loss,5 days,Yes,Yes,No,Yes,No,Yes,No,Yes,No,39.3°C,80,Coccidiosis,Appropriate medication for caprine Coccidiosis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality browse, hay, and appropriate supplements",Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,CDT Vaccine,"2-3 months, with booster",Core,Annual,Essential for preventing enterotoxemia and tetanus in goats
Pig,Berkshire,2,Male,115,Coughing,Nasal Discharge,Lethargy,Fever,4 days,Yes,No,No,Yes,Yes,No,Yes,No,Yes,39.8°C,85,Actinobacillus Pleuropneumonia,Appropriate medication for Pig with Actinobacillus Pleuropneumonia,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,Species-appropriate diet for Pig with Actinobacillus Pleuropneumonia,As recommended by veterinarian,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Multi-component Swine Vaccine,"3-4 weeks, with booster",Core,Annual,Essential preventative care for pigs
Dog,Shih Tzu,8,Female,8,Lethargy,Vomiting,Diarrhea,Loss of Appetite,5 days,Yes,No,Yes,Yes,No,No,No,No,Yes,39.0°C,130,Canine Hepatitis,Appropriate antibiotics and supportive medication for Canine Hepatitis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Low-fat, easily digestible diet","Small, frequent meals",2-3 weeks,Liver support supplements may be beneficial,DHPP Vaccine,"6-8 weeks, then every 3-4 weeks until 16 weeks",Core,"Annual booster, then every 3 years","Essential for all puppies, protects against multiple diseases including hepatitis"
Cat,Scottish Fold,4,Male,4.3,Nasal Discharge,Eye Discharge,Sneezing,Lethargy,3 days,Yes,No,Yes,No,No,Yes,No,Yes,Yes,38.7°C,143,Feline Rhinotracheitis,Appropriate antibiotics and supportive medication for Feline Rhinotracheitis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, palatable diet appropriate for condition","Small, frequent meals",1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,FVRCP Vaccine,"8 weeks, then every 3-4 weeks until 16 weeks",Core,Annual booster,Essential preventative care for all cats
Horse,Belgian,13,Female,650,Lameness,Swollen Joints,Fever,Weight Loss,8 days,No,Yes,No,Yes,Yes,No,No,No,Yes,39.5°C,74,Equine Infectious Anemia,Supportive care only,As directed by veterinarian,Ongoing management,"No cure, management of symptoms only","High-quality hay, vitamin and mineral supplements","Small, frequent meals",2-3 weeks,Iron supplements may be beneficial,No vaccine available,N/A,N/A,N/A,Prevention through testing and quarantine
Cow,Brown Swiss,9,Male,600,Labored Breathing,Nasal Discharge,Coughing,Fever,6 days,Yes,No,Yes,Yes,No,Yes,No,No,Yes,39.6°C,80,Bovine Respiratory Disease,"Antibiotics, Anti-inflammatories",As directed by veterinarian,5-10 days,Early treatment improves outcomes,"High-quality forage, vitamin supplements",Normal feeding schedule,1-2 weeks,Ensure adequate hydration,BRD Vaccine Complex,"2-4 months, with booster 2-4 weeks later",Core,Annual,Protects against multiple respiratory pathogens
Rabbit,Himalayan,3,Male,1.9,Sneezing,Eye Discharge,Nasal Discharge,Lethargy,2 days,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,38.4°C,160,Respiratory Infection,Appropriate medication for rabbit Respiratory Infection,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Fresh hay, leafy greens, and limited pellets",Regular feeding schedule with fresh water,1-2 weeks or as directed by veterinarian,Ensure adequate fiber intake and monitor for GI stasis,RHDV Vaccine,10-12 weeks,Core,Annual,Essential preventative care for rabbits
Sheep,Romney,6,Female,78,Weight Loss,Lethargy,Loss of Appetite,Swollen Joints,9 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,39.7°C,76,Scrapie,Appropriate medication for ovine Scrapie,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, easily digestible feed","Small, frequent meals",2-3 weeks,Vitamin and mineral supplements,No vaccine available,As recommended by veterinarian,Consult veterinarian,As recommended by veterinarian,Genetic selection and testing used for control
Goat,Kiko,3,Male,75,Nasal Discharge,Fever,Weight Loss,Loss of Appetite,6 days,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,39.2°C,82,Caprine Respiratory Disease,Appropriate medication for caprine Caprine Respiratory Disease,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality forage, vitamin supplements",Normal feeding schedule,1-2 weeks,Ensure adequate hydration,Pasteurella/Mannheimia Vaccine,"2-3 months, with booster 3-4 weeks later",Non-core,Annual,Recommended for goats in high-risk environments
Pig,Tamworth,4,Female,120,Vomiting,Diarrhea,Appetite Loss,Fever,5 days,Yes,Yes,No,Yes,Yes,No,Yes,No,No,39.6°C,84,Swine Dysentery,Appropriate medication for Pig with Swine Dysentery,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,Species-appropriate diet for Pig with Swine Dysentery,As recommended by veterinarian,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Multi-component Swine Vaccine,"3-4 weeks, with booster",Core,Annual,Essential preventative care for pigs
Dog,Beagle,6,Male,13,Coughing,Labored Breathing,Nasal Discharge,Fever,4 days,Yes,No,No,Yes,Yes,Yes,No,Yes,No,39.4°C,127,Kennel Cough,"Doxycycline, Cough suppressants",5-10 mg/kg daily,7-10 days,Rest and isolation from other dogs,Regular diet with added warm broth,Normal feeding schedule,2-3 weeks,Ensure adequate hydration,Bordetella Vaccine,6-8 weeks,Non-core,Annual or biannual,"Recommended for dogs in kennels, daycares, or frequent social settings"
Cat,Russian Blue,5,Female,4.7,Eye Discharge,Nasal Discharge,Sneezing,Lethargy,5 days,Yes,Yes,No,No,No,Yes,No,Yes,Yes,38.6°C,145,Feline Respiratory Infection,Appropriate antibiotics and supportive medication for Feline Respiratory Infection,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, palatable diet appropriate for condition","Small, frequent meals",1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,FVRCP Vaccine,"8 weeks, then every 3-4 weeks until 16 weeks",Core,Annual booster,Essential preventative care for all cats
Horse,Shetland Pony,11,Male,300,Lameness,Swollen Joints,Appetite Loss,Weight Loss,7 days,Yes,Yes,No,Yes,No,Yes,No,Yes,No,39.6°C,80,Equine Osteoarthritis,Appropriate medication for equine Equine Osteoarthritis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality hay and appropriate supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,"Core Equine Vaccines (Tetanus, EEE/WEE, Rabies)","4-6 months, with boosters",Core,Annual,Essential preventative care for all horses
Cow,Holstein,7,Female,650,Coughing,Nasal Discharge,Appetite Loss,Fever,5 days,Yes,No,No,Yes,Yes,No,No,Yes,No,39.4°C,79,Bovine Tuberculosis,Appropriate medication for bovine Bovine Tuberculosis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, nutrient-dense feed",Normal feeding schedule,2-3 weeks,Vitamin and mineral supplements,BCG Vaccine,Calves,Non-core,Variable,"Limited use, testing and culling more common"
Rabbit,Dutch,2,Female,1.4,Sneezing,Nasal Discharge,Lethargy,Loss of Appetite,3 days,Yes,No,Yes,Yes,No,Yes,No,No,Yes,38.8°C,155,Upper Respiratory Infection,"Doxycycline, Clavamox",10 mg/kg once daily,7 days,Maintain warmth and hydration,"Warm soft food, high-calorie paste",2–3 times daily,1 week,Easy to chew and swallow,FVRCP Vaccine,8 weeks,Core,Annual booster,Protects against multiple viruses
Sheep,Lincoln,8,Male,95,Lethargy,Swollen Joints,Fever,Loss of Appetite,6 days,No,Yes,No,Yes,Yes,No,Yes,No,Yes,39.9°C,75,Footrot,Appropriate medication for ovine Footrot,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality forage and appropriate mineral supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Clostridial Vaccine,"2-3 months, with booster",Core,Annual,Essential preventative care for sheep
Goat,LaMancha,5,Female,72,Diarrhea,Loss of Appetite,Lethargy,Dehydration,7 days,Yes,No,Yes,No,No,Yes,No,Yes,No,39.2°C,82,Gastrointestinal Infection,Appropriate medication for caprine Gastrointestinal Infection,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality browse, hay, and appropriate supplements",Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,CDT Vaccine,"2-3 months, with booster",Core,Annual,Essential for preventing enterotoxemia and tetanus in goats
Pig,Poland China,3,Male,110,Fever,Coughing,Nasal Discharge,Weight Loss,6 days,No,Yes,Yes,No,Yes,No,Yes,No,Yes,39.8°C,87,Actinobacillus Pleuropneumonia,Appropriate medication for Pig with Actinobacillus Pleuropneumonia,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,Species-appropriate diet for Pig with Actinobacillus Pleuropneumonia,As recommended by veterinarian,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Multi-component Swine Vaccine,"3-4 weeks, with booster",Core,Annual,Essential preventative care for pigs
Dog,Golden Retriever,7,Male,30,Vomiting,Diarrhea,Loss of Appetite,Lethargy,6 days,Yes,No,Yes,Yes,No,No,Yes,No,No,39.5°C,118,Canine Parvovirus,Appropriate antibiotics and supportive medication for Canine Parvovirus,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Highly digestible, bland diet with electrolytes","Small, frequent meals (4-6 times daily)",2-3 weeks,Gradually transition back to regular diet as symptoms improve,DHPP Vaccine,"6-8 weeks, then every 3-4 weeks until 16 weeks",Core,"Annual booster, then every 3 years","Essential for all puppies, protects against multiple diseases including parvovirus"
Cat,Sphynx,4,Male,5.2,Vomiting,Diarrhea,Loss of Appetite,Lethargy,5 days,Yes,Yes,Yes,No,Yes,Yes,No,No,No,39.1°C,148,Feline Infectious Peritonitis,"GS-441524, Anti-inflammatories",4-10 mg/kg daily,84 days,Emerging treatment with promising results,"High-quality, nutrient-dense diet","Small, frequent meals",2-3 weeks,Appetite stimulants may be needed,FIP Vaccine,"16 weeks, with booster 3-4 weeks later",Non-core,Annual,"Limited efficacy, discuss with veterinarian"
Horse,Clydesdale,15,Female,700,Swollen Joints,Lameness,Weight Loss,Lethargy,8 days,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,39.5°C,77,Equine Metabolic Syndrome,Appropriate medication for equine Equine Metabolic Syndrome,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality hay and appropriate supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,"Core Equine Vaccines (Tetanus, EEE/WEE, Rabies)","4-6 months, with boosters",Core,Annual,Essential preventative care for all horses
Cow,Simmental,8,Male,580,Appetite Loss,Weight Loss,Fever,Lethargy,6 days,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,39.3°C,80,Bovine Johne's Disease,Appropriate medication for bovine Bovine Johne's Disease,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality forage and appropriate supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Clostridial/Respiratory Vaccine Complex,"2-4 months, with booster",Core,Annual,Essential preventative care for cattle
Rabbit,Mini Rex,1,Female,1.2,Nasal Discharge,Lethargy,Loss of Appetite,Sneezing,2 days,Yes,No,Yes,No,Yes,No,Yes,No,No,38.7°C,165,Pasteurellosis,Appropriate medication for rabbit Pasteurellosis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Fresh hay, leafy greens, and limited pellets",Regular feeding schedule with fresh water,1-2 weeks or as directed by veterinarian,Ensure adequate fiber intake and monitor for GI stasis,RHDV Vaccine,10-12 weeks,Core,Annual,Essential preventative care for rabbits
Dog,Rottweiler,5,Female,42,Lethargy,Vomiting,Loss of Appetite,Coughing,4 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,39.2°C,120,Canine Parvovirus,Appropriate antibiotics and supportive medication for Canine Parvovirus,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Highly digestible, bland diet with electrolytes","Small, frequent meals (4-6 times daily)",2-3 weeks,Gradually transition back to regular diet as symptoms improve,DHPP Vaccine,"6-8 weeks, then every 3-4 weeks until 16 weeks",Core,"Annual booster, then every 3 years","Essential for all puppies, protects against multiple diseases including parvovirus"
Cat,Bengal,3,Male,5.5,Nasal Discharge,Coughing,Sneezing,Lethargy,5 days,Yes,Yes,No,Yes,No,Yes,No,No,Yes,38.9°C,140,Feline Calicivirus,"Antibiotics, Pain medication",As directed by veterinarian,7-14 days,Supportive care for oral ulcers,"Soft, highly palatable food","Small, frequent meals",2-3 weeks,May need assisted feeding if mouth ulcers present,FVRCP Vaccine,"8 weeks, then every 3-4 weeks until 16 weeks",Core,Annual booster,Protects against multiple viruses including calicivirus
Horse,Thoroughbred,7,Female,480,Lameness,Loss of Appetite,Swollen Legs,Fever,6 days,No,Yes,Yes,No,Yes,Yes,No,Yes,No,39.6°C,75,Equine Influenza,"NSAIDs, Bronchodilators",As directed by veterinarian,7-10 days,Rest is essential for recovery,"High-quality hay, bran mash, electrolytes","Small, frequent meals",1-2 weeks,Ensure adequate hydration,Equine Influenza Vaccine,"4-6 months, with booster 4-6 weeks later",Core,Every 6-12 months,"Essential for all horses, especially those in contact with other horses"
Cow,Angus,6,Male,550,Coughing,Nasal Discharge,Fever,Weight Loss,7 days,Yes,No,Yes,Yes,Yes,No,Yes,No,No,39.4°C,82,Bovine Respiratory Disease,"Antibiotics, Anti-inflammatories",As directed by veterinarian,5-10 days,Early treatment improves outcomes,"High-quality forage, vitamin supplements",Normal feeding schedule,1-2 weeks,Ensure adequate hydration,BRD Vaccine Complex,"2-4 months, with booster 2-4 weeks later",Core,Annual,Protects against multiple respiratory pathogens
Rabbit,Himalayan,2,Male,1.6,Nasal Discharge,Sneezing,Lethargy,Appetite Loss,3 days,Yes,Yes,No,Yes,No,No,Yes,No,No,38.5°C,150,Rabbit Hemorrhagic Disease,Appropriate medication for rabbit Rabbit Hemorrhagic Disease,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Fresh hay, leafy greens, hydration support","Small, frequent meals",2-3 weeks,Critical to maintain hydration and gut motility,RHDV Vaccine,10-12 weeks,Core,Annual,Essential in endemic areas
Sheep,Texel,4,Female,85,Lameness,Swollen Joints,Loss of Appetite,Diarrhea,5 days,Yes,No,No,Yes,No,No,Yes,Yes,No,39.3°C,76,Blue Tongue Virus,Appropriate medication for ovine Blue Tongue Virus,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality forage and appropriate mineral supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Clostridial Vaccine,"2-3 months, with booster",Core,Annual,Essential preventative care for sheep
Goat,Alpine,5,Male,72,Vomiting,Diarrhea,Fever,Loss of Appetite,6 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,39.0°C,81,Caprine Arthritis Encephalitis,Appropriate medication for caprine Caprine Arthritis Encephalitis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, nutrient-dense feed",Normal feeding schedule,Long-term management,Joint supplements may be beneficial,No effective vaccine,As recommended by veterinarian,Consult veterinarian,As recommended by veterinarian,Prevention through testing and management
Pig,Duroc,3,Female,100,Coughing,Nasal Discharge,Loss of Appetite,Lethargy,4 days,Yes,No,Yes,No,Yes,Yes,No,No,Yes,39.5°C,88,Swine Influenza,Appropriate medication for Pig with Swine Influenza,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality feed, vitamin supplements",Normal feeding schedule,1-2 weeks,Ensure adequate hydration,Swine Influenza Vaccine,Breeding stock and piglets,Non-core,Biannual,Recommended in high-risk herds
Dog,Doberman Pinscher,6,Male,40,Vomiting,Lethargy,Loss of Appetite,Coughing,5 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,39.3°C,119,Canine Distemper,"Antibiotics, Anticonvulsants, Supportive care",As directed by veterinarian,2-4 weeks,Treat secondary infections and symptoms,"High-calorie, easily digestible diet","Small, frequent meals",2-3 weeks,May need assisted feeding if appetite is poor,DHPP Vaccine,"6-8 weeks, then every 3-4 weeks until 16 weeks",Core,"Annual booster, then every 3 years","Essential for all puppies, protects against multiple diseases including distemper"
Cat,Siamese,4,Female,4.2,Nasal Discharge,Lethargy,Loss of Appetite,Fever,6 days,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,38.8°C,145,Feline Leukemia Virus,Appropriate antibiotics and supportive medication for Feline Leukemia Virus,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, palatable diet appropriate for condition","Small, frequent meals",1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,FVRCP Vaccine,"8 weeks, then every 3-4 weeks until 16 weeks",Core,Annual booster,Essential preventative care for all cats
Horse,Pinto,9,Male,530,Lameness,Coughing,Loss of Appetite,Swollen Legs,7 days,No,Yes,No,Yes,Yes,No,No,Yes,No,39.7°C,77,Equine Infectious Anemia,Supportive care only,As directed by veterinarian,Ongoing management,"No cure, management of symptoms only","High-quality hay, vitamin and mineral supplements","Small, frequent meals",2-3 weeks,Iron supplements may be beneficial,No vaccine available,N/A,N/A,N/A,Prevention through testing and quarantine
Cow,Charolais,5,Female,620,Lethargy,Coughing,Nasal Discharge,Fever,4 days,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,39.6°C,81,Bovine Tuberculosis,Appropriate medication for bovine Bovine Tuberculosis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality, nutrient-dense feed",Normal feeding schedule,2-3 weeks,Vitamin and mineral supplements,BCG Vaccine,Calves,Non-core,Variable,"Limited use, testing and culling more common"
Rabbit,Mini Lop,1,Female,1.2,Nasal Discharge,Loss of Appetite,Lethargy,Sneezing,2 days,Yes,Yes,Yes,Yes,No,No,Yes,No,No,38.7°C,155,Myxomatosis,Appropriate medication for rabbit Myxomatosis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"Fresh hay, leafy greens, and limited pellets",Regular feeding schedule with fresh water,1-2 weeks or as directed by veterinarian,Ensure adequate fiber intake and monitor for GI stasis,RHDV Vaccine,10-12 weeks,Core,Annual,Essential preventative care for rabbits
Sheep,Suffolk,6,Male,90,Swollen Joints,Loss of Appetite,Lethargy,Coughing,5 days,Yes,Yes,No,Yes,No,Yes,No,Yes,No,39.4°C,78,Caseous Lymphadenitis,Appropriate medication for ovine Caseous Lymphadenitis,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,High-quality forage and appropriate mineral supplements,Regular feeding schedule with adjustments as needed,1-2 weeks or as directed by veterinarian,Ensure adequate hydration and monitor appetite,Clostridial Vaccine,"2-3 months, with booster",Core,Annual,Essential preventative care for sheep
Goat,Boer,3,Female,70,Fever,Vomiting,Diarrhea,Appetite Loss,5 days,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,39.5°C,80,Caprine Pleuropneumonia,Appropriate medication for caprine Caprine Pleuropneumonia,As directed by veterinarian,7-14 days depending on severity,Monitor for improvement and side effects,"High-quality forage, vitamin supplements",Normal feeding schedule,2-3 weeks,Ensure adequate hydration,CCPP Vaccine,3-6 months,Core,Annual,Essential in endemic areas
